"id_odsp","id_event","sort_order","time","text","event_type","event_type2","side","event_team","opponent","player","player2","player_in","player_out","shot_place","shot_outcome","is_goal","location","bodypart","assist_method","situation","fast_break"
"KdJwL81G/","KdJwL81G52",52,52,"Offside, SpVgg Greuther Furth. Edgar Prib tries a through ball, but Zoltan Stieber is caught offside.","Offside","Failed through ball","Home","SpVgg Greuther Furth","VfB Stuttgart","zoltan stieber","edgar prib",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"YRn98lal/","YRn98lal53",53,45,"Foul by Gueida Fofana (Lyon).","Foul",NA,"Away","Lyon","AC Ajaccio","gueida fofana",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"GhrXGHZM/","GhrXGHZM79",79,72,"Goal!  Real Valladolid 0, AtlA©tico de Madrid 2. Diego Costa (AtlA©tico de Madrid) right footed shot from the centre of the box to the bottom left corner. Assisted by Koke with a through ball.","Attempt","Key Pass","Away","Atletico Madrid","Real Valladolid","diego costa","koke",NA,NA,"Bottom left corner","On target",1,"Centre of the box","right foot","Through ball","Open play",0
"tKBQgeoi/","tKBQgeoi3",3,2,"Corner,  Newcastle United. Conceded by Antolin Alcaraz.","Corner",NA,"Away","Newcastle","Everton","antolin alcaraz","antolin alcaraz",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"6LNXrSGf/","6LNXrSGf25",25,27,"Offside, Borussia Dortmund. Adrian Ramos tries a through ball, but Andre Schurrle is caught offside.","Offside","Failed through ball","Away","Borussia Dortmund","Eintracht Frankfurt","andre schurrle","adrian ramos",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"WlGgmlg4/","WlGgmlg488",88,76,"Attempt missed. Edin Dzeko (Roma) right footed shot from the centre of the box is too high. Assisted by Miralem Pjanic.","Attempt","Key Pass","Home","AS Roma","Hellas Verona","edin dzeko","miralem pjanic",NA,NA,"Too high","Off target",0,"Centre of the box","right foot","Pass","Open play",0
"W88PmSih/","W88PmSih70",70,57,"Corner,  Elche. Conceded by Simao.","Corner",NA,"Home","Elche","Levante","simao","simao",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"67raUS11/","67raUS11112",112,80,"Offside, Hamburger SV. Lewis Holtby tries a through ball, but Filip Kostic is caught offside.","Offside","Failed through ball","Away","Hamburg SV","TSG Hoffenheim","filip kostic","lewis holtby",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"z9Hhf2Q0/","z9Hhf2Q08",8,11,"Foul by Panagiotis Kone (Bologna).","Foul",NA,"Away","Bologna","AS Roma","panagiotis kone",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"2clr1Awo/","2clr1Awo83",83,84,"Rolando (Inter Milan) wins a free kick in the defensive half.","Free kick won",NA,"Away","Internazionale","Torino","rolando",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"IN79EpNK/","IN79EpNK65",65,56,"Goal!  Caen 0, Lille 2. Yassine Benzia (Lille) left footed shot from the centre of the box to the top left corner.","Attempt",NA,"Away","Lille","Caen","yassine benzia",NA,NA,NA,"Top left corner","On target",1,"Centre of the box","left foot","None","Open play",0
"QeRLXRmh/","QeRLXRmh58",58,55,"Pierre-Emile Hojbjerg (Southampton) wins a free kick in the defensive half.","Free kick won",NA,"Home","Southampton","Everton","pierreemile hojbjerg",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"Eu4gx8zB/","Eu4gx8zB42",42,50,"Foul by Carlos Henrique (Bordeaux).","Foul",NA,"Home","Bordeaux","Valenciennes","carlos henrique",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"pQNZrd4t/","pQNZrd4t39",39,40,"Corner,  FC Augsburg. Conceded by Ivan Perisic.","Corner",NA,"Away","FC Augsburg","VfL Wolfsburg","ivan perisic","ivan perisic",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"Yo8iP60a/","Yo8iP60a71",71,78,"Wissam Ben Yedder (Toulouse) is shown the yellow card.","Yellow card",NA,"Away","Toulouse","Caen","wissam ben yedder",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"0jBZs5uT/","0jBZs5uT47",47,38,"Corner,  VfL Wolfsburg. Conceded by Julian Schuster.","Corner",NA,"Home","VfL Wolfsburg","SC Freiburg","julian schuster","julian schuster",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"xjYxlsZB/","xjYxlsZB1",1,1,"Attempt saved. Francesco Totti (Roma) right footed shot from the right side of the box is saved in the bottom right corner. Assisted by Aleandro Rosi.","Attempt","Key Pass","Home","AS Roma","Bologna","francesco totti","aleandro rosi",NA,NA,"Bottom right corner","On target",0,"Right side of the box","right foot","Pass","Open play",0
"MyGMlrVP/","MyGMlrVP74",74,71,"Substitution, Borussia Dortmund. Ousmane Dembele replaces Gonzalo Castro.","Substitution",NA,"Away","Borussia Dortmund","RB Leipzig",NA,NA,"ousmane dembele","gonzalo castro",NA,NA,0,NA,NA,"None",NA,0
"jwbOIqLJ/","jwbOIqLJ156",156,90,"Luigi Giorgi (Novara) wins a free kick in the defensive half.","Free kick won",NA,"Home","Novara","Catania","luigi giorgi",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"pEBJPNPN/","pEBJPNPN64",64,71,"Hervin Ongenda (Bastia) wins a free kick on the left wing.","Free kick won",NA,"Home","Bastia","Lens","hervin ongenda",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"nZPAMc7L/","nZPAMc7L59",59,63,"Foul by Manuel Pasqual (Fiorentina).","Foul",NA,"Away","Fiorentina","Atalanta","manuel pasqual",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"fcvtLkHc/","fcvtLkHc140",140,90,"Corner,  Bayer 04 Leverkusen. Conceded by Heiko Westermann.","Corner",NA,"Away","Bayer Leverkusen","Hamburg SV","heiko westermann","heiko westermann",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"jeWuaPrH/","jeWuaPrH58",58,76,"Substitution, Bordeaux. Cheick DiabatA© replaces Julien Faubert.","Substitution",NA,"Home","Bordeaux","Evian Thonon Gaillard",NA,NA,"cheick diabate","julien faubert",NA,NA,0,NA,NA,"None",NA,0
"0lIQADr6/","0lIQADr653",53,75,"Attempt missed. Sergio SA¡nchez (MA¡laga) left footed shot from the centre of the box is high and wide to the left.","Attempt",NA,"Home","Malaga","Real Madrid","sergio sanchez",NA,NA,NA,"High and wide","Off target",0,"Centre of the box","left foot","None","Open play",0
"d8iFg5YQ/","d8iFg5YQ66",66,57,"Cyril ThA©rA©au (Udinese) wins a free kick in the defensive half.","Free kick won",NA,"Home","Udinese","AS Roma","cyril thereau",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"zDBqATHb/","zDBqATHb59",59,46,"Offside, Fiorentina. David Pizarro tries a through ball, but Luca Toni is caught offside.","Offside","Failed through ball","Away","Fiorentina","Cagliari","luca toni","david pizarro",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"OCEfLHea/","OCEfLHea58",58,51,"Corner,  Bayern Munich. Conceded by Oliver Baumann.","Corner",NA,"Away","Bayern Munich","SC Freiburg","oliver baumann","oliver baumann",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"rHNcNR6G/","rHNcNR6G17",17,17,"Henri Saivet (St Etienne) wins a free kick on the left wing.","Free kick won",NA,"Home","St Etienne","AS Monaco","henri saivet",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"KCmKsEEC/","KCmKsEEC58",58,47,"Raul Garcia (Athletic Club) is shown the yellow card for a bad foul.","Yellow card",NA,"Away","Athletic Bilbao","Real Betis","raul garcia",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"rDu33WS7/","rDu33WS751",51,40,"Attempt missed. Angel Lafita (Getafe) right footed shot from outside the box misses to the right.","Attempt",NA,"Home","Getafe","Rayo Vallecano","angel lafita",NA,NA,NA,"Misses to the right","Off target",0,"Outside the box","right foot","None","Open play",0
"YoxGvzpK/","YoxGvzpK32",32,27,"Corner,  AtlA©tico de Madrid. Conceded by Edu AlbA¡car.","Corner",NA,"Away","Atletico Madrid","Elche","edu alba¡car","edu alba¡car",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"OQ0P6AYt/","OQ0P6AYt48",48,43,"Offside, Palermo. Edgar Barreto tries a through ball, but Ignacio Lores Varela is caught offside.","Offside","Failed through ball","Home","Palermo","Fiorentina","ignacio lores varela","edgar barreto",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"C6z65H6J/","C6z65H6J8",8,3,"Marko Livaja (Las Palmas) wins a free kick on the left wing.","Free kick won",NA,"Home","Las Palmas","Leganes","marko livaja",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"bNYfewHS/","bNYfewHS55",55,70,"Foul by JA©rA´me Roussillon (Sochaux).","Foul",NA,"Home","Sochaux","St Etienne","jerome roussillon",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"lEEXuJn2/","lEEXuJn267",67,62,"Victor Rodriguez (Sporting de Gijon) wins a free kick on the left wing.","Free kick won",NA,"Home","Sporting Gijon","Athletic Bilbao","victor rodriguez",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"0OYsYAdi/","0OYsYAdi75",75,77,"Corner,  Nice. Conceded by Thiago Motta.","Corner",NA,"Home","Nice","Paris Saint-Germain","thiago motta","thiago motta",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"ruAZenAc/","ruAZenAc22",22,27,"Foul by Aristide Bance (FC Augsburg).","Foul",NA,"Away","FC Augsburg","Schalke 04","aristide bance",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"MgRFIiR8/","MgRFIiR864",64,43,"Luca Antonini (Genoa) wins a free kick in the defensive half.","Free kick won",NA,"Away","Genoa","Bologna","luca antonini",NA,NA,NA,NA,NA,0,"Defensive half",NA,"None",NA,0
"QXPBbISu/","QXPBbISu40",40,42,"Corner,  Toulouse. Conceded by Souleymane Diawara.","Corner",NA,"Away","Toulouse","Marseille","souleymane diawara","souleymane diawara",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"29kj1anI/","29kj1anI20",20,11,"Foul by Marco Estrada (Montpellier).","Foul",NA,"Away","Montpellier","Lille","marco estrada",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"naDbpa4F/","naDbpa4F76",76,55,"Andre Hahn (FC Augsburg) wins a free kick in the attacking half.","Free kick won",NA,"Away","FC Augsburg","Borussia Monchengladbach","andre hahn",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"MJrFInOg/","MJrFInOg47",47,35,"Substitution, Osasuna. Javier AcuA±a replaces Alvaro Cejudo.","Substitution",NA,"Home","Osasuna","Athletic Bilbao",NA,NA,"alvaro cejudo","alvaro cejudo",NA,NA,0,NA,NA,"None",NA,0
"I9Wpm1GI/","I9Wpm1GI88",88,90,"Attempt missed. Damien Da Silva (Caen) header from the centre of the box is just a bit too high. Assisted by Thomas Lemar with a cross following a corner.","Attempt","Key Pass","Home","Caen","Guingamp","damien da silva","thomas lemar",NA,NA,"Bit too high","Off target",0,"Centre of the box","head","Cross","Corner",0
"voYZWc01/","voYZWc01106",106,84,"Foul by Pablo PA©rez (MA¡laga).","Foul",NA,"Away","Malaga","Almeria","pablo perez",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"4zWCxS5P/","4zWCxS5P102",102,90,"Jordan Ferri (Lyon) wins a free kick on the right wing.","Free kick won",NA,"Home","Lyon","Lorient","jordan ferri",NA,NA,NA,NA,NA,0,"Right wing",NA,"None",NA,0
"URxi4vwb/","URxi4vwb62",62,51,"Attempt missed. Vieirinha (Wolfsburg) left footed shot from outside the box is high and wide to the left. Assisted by Ivica Olic.","Attempt","Key Pass","Home","VfL Wolfsburg","Bayern Munich","vieirinha","ivica olic",NA,NA,"High and wide","Off target",0,"Outside the box","left foot","Pass","Open play",0
"jNjO0KpI/","jNjO0KpI68",68,74,"Attempt missed. Max Gradel (St Etienne) header from the right side of the box misses to the right. Assisted by Landry N'GuA©mo with a cross.","Attempt","Key Pass","Away","St Etienne","Bastia","max gradel","landry nguemo",NA,NA,"Misses to the right","Off target",0,"Right side of the box","head","Cross","Open play",0
"dESxvpyd/","dESxvpyd50",50,62,"Attempt missed. Ciro Immobile (Torino) right footed shot from outside the box misses to the left. Assisted by Alessandro Gazzi.","Attempt","Key Pass","Home","Torino","AS Roma","ciro immobile","alessandro gazzi",NA,NA,"Misses to the left","Off target",0,"Outside the box","right foot","Pass","Open play",0
"EJr1pbnM/","EJr1pbnM68",68,72,"Attempt saved. Andre Ayew (Swansea City) left footed shot from the centre of the box is saved in the centre of the goal.","Attempt",NA,"Home","Swansea","Crystal Palace","andre ayew",NA,NA,NA,"Centre of the goal","On target",0,"Centre of the box","left foot","None","Open play",0
"2FLIkewR/","2FLIkewR97",97,88,"Junior Diaz (SV Darmstadt 98) is shown the yellow card.","Yellow card",NA,"Home","SV Darmstadt 98","Werder Bremen","junior diaz",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
"Wd0kCZv1/","Wd0kCZv161",61,65,"Offside, Rennes. Giovanni Sio tries a through ball, but Kamil Grosicki is caught offside.","Offside","Failed through ball","Home","Stade Rennes","Nice","kamil grosicki","giovanni sio",NA,NA,NA,NA,0,NA,NA,"None",NA,0
"2uejLvpo/","2uejLvpo60",60,56,"Substitution, Real Betis. Ruben Castro replaces Joaquin.","Substitution",NA,"Away","Real Betis","Villarreal",NA,NA,"ruben castro","joaquin",NA,NA,0,NA,NA,"None",NA,0
"EoQrELOf/","EoQrELOf109",109,86,"Eric Bautheac (Dijon) wins a free kick on the left wing.","Free kick won",NA,"Away","Dijon FCO","Bordeaux","eric bautheac",NA,NA,NA,NA,NA,0,"Left wing",NA,"None",NA,0
"jqhQahsq/","jqhQahsq63",63,54,"Alberto Paloschi (Chievo) wins a free kick in the attacking half.","Free kick won",NA,"Away","Chievo Verona","Genoa","alberto paloschi",NA,NA,NA,NA,NA,0,"Attacking half",NA,"None",NA,0
"6TXmxJbF/","6TXmxJbF14",14,13,"Foul by RA©my Cabella (Montpellier).","Foul",NA,"Away","Montpellier","Brest","remy cabella",NA,NA,NA,NA,NA,0,NA,NA,"None",NA,0
